Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
60571,"AEP Onsite Partners, LLC",61043,Canandaigua Solar Array,NY,Ontario,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,12,2016,,,,Y,,,,,,,180,30,2.5,Y,,,,,,Y,2.5,N, 
15399,Avangrid Renewables LLC,61048,Solar Star Oregon II,OR,Crook,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,56.3,56,56,10,2017,,Y,,,Y,N,,N,,, ,60,69.5,Y,N,,,,,N, ,N, 
6452,Florida Power & Light Co,61050,Wildflower Solar Energy Center,FL,Desoto,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,1,2018,,,,Y,,,,,,,195,20,114,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61051,Barefoot Bay Solar Energy Center,FL,Brevard,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,3,2018,,,,Y,,,,,,,195,20,113.2,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61052,Loggerhead Solar Energy Center,FL,St Lucie,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,3,2018,,,,Y,,,,,,,195,20,113.2,Y,,,,,,N, ,N, 
9234,Indiana Municipal Power Agency,61053,Greenfield Solar Park,IN,Hancock,SGREE,OP,Solar Photovoltaic,PV,Electric Utility,1,2.8,2.8,2.2,12,2017,,Y,,N,,,,,,,180, ,3.6,Y,,,,,,N, ,N, 
9234,Indiana Municipal Power Agency,61054,IMPA Anderson Solar Park 2,IN,Madison,SAND2,OP,Solar Photovoltaic,PV,Electric Utility,1,8.1,8.1,6.5,12,2017,,Y,,,,,,,,,180, ,10.2,Y,,,,,,N, ,N, 
60370,"DG AMP Solar, LLC",61055,DG AMP Solar Front Royal,VA,Warren,AMPFR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.5,2.5,2.5,5,2017,,,,Y,,,,,,,180,25,3.5,Y,,,,,,N, ,N, 
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,Renville,0000B,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,30,1.5,Y,,,,,,N, ,N, 
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,Renville,KRAM2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,30,1.5,Y,,,,,,N, ,N, 
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,Renville,KRAM3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,30,1.5,Y,,,,,,N, ,N, 
62033,NRG MN Community LLC,61059,Novel OYA of Osakis CSG,MN,Douglas,0000G,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,7,2018,,,,Y,,,,,,,180,35,7.2,Y,,,,,,N, ,Y,7.2
62033,NRG MN Community LLC,61060,Novel - OYA of Mapleton CSG,MN,Blue Earth,0000I,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.5,3.5,3.5,7,2018,,,,Y,,,,,,,180,35,7.2,Y,,,,,,N, ,Y,3.5
61012,AES Distributed Energy,61068,AES Lawai Solar Hybrid,HI,Kauai,LAWA1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20,20,20,12,2018,,Y,,N,N,,,,,,90, ,28,Y,,,,,,N, ,N, 
60692,Ameresco BWC Wading River LLC,61069,"BWC Wading River One, Two, Three CSG",MA,Worcester,62381,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3,3,3,11,2017,,,,Y,,,,,,,180,20,4.1,Y,,,,,,N, ,Y,3
60496,"Adapture Renewables, Inc.",61072,Lemond Solar,MN,Steele,LEMND,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,6,2017,,Y,,,,,,,,,180,45,6.6,Y,,,,,,N, ,N, 
56990,NJR Clean Energy Ventures Corporation,61073,Pemberton Road I,NJ,Burlington,PEMB1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,8.8,8.8,8.8,6,2017,,,,Y,,,,,,,180,20,10,Y,,,,,,N, ,N, 
