plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
63833,63833,Bluebird Solar SC LLC,BB,SC,Anderson,DUK,SERC,0,0,3000,0,2,34.599083,-82.739217,14
63835,63835,"Pilot Mountain Solar, LLC",PV1,NC,Stokes,DUK,SERC,180,20,4900,2,0,36.27066,-80.37635,14
63836,63836,"Benson Solar, LLC",PV1,NC,Johnston,CPLE,SERC,180,20,4900,2,0,35.3962,-78.56223,14
63837,63837,"Lane II Solar, LLC",PV1,NC,Wayne,CPLE,SERC,180,20,4900,2,0,35.39977,-78.05327,14
63839,63839,Midlands,1113,SC,Calhoun,SCEG,SERC,180,33.648979,72100,0,2,33.648979,-80.942818,14
63844,63844,Fort Calhoun Community Solar,FTCAL,NE,Washington,SWPP,MRO,90,55,5000,0,2,41.456612,-96.004766,14
63854,63854,Medusa NY 1,8175C,NY,Albany,NYIS,NPCC,185,25,2000,0,0,42.466286,-74.099533,14
63855,63855,Walden NY 1,8175E,NY,Orange,NYIS,NPCC,187,25,2000,0,0,41.552749,-74.145471,14
63856,63856,Westtown NY 2,8175D,NY,Orange,NYIS,NPCC,180,25,2000,0,0,41.345455,-74.52377,14
63857,63857,Middletown NY 1,8175B,NY,Orange,NYIS,NPCC,180,25,2000,0,0,41.40888,-74.509799,14
63858,63858,Westerlo NY 1,8175A,NY,Albany,NYIS,NPCC,180,25,2000,0,0,42.43822,-74.015894,14
63859,63859,"Golden Field Solar III, LLC",RCTR,CA,Kern,CISO,WECC,180,34.847,192000,0,2,34.847,-118.395,14
63860,63860,Encino Solar Energy Center,ESEC,NM,Sandoval,PNM,WECC,180,0,55000,0,2,35.354,-106.858,14
63869,63869,IBM Solar,DGIBM,CO,Boulder,PSCO,WECC,180,52,8100,0,2,40.038266,-105.244892,14
63887,63887,East Brookfield Main Street Solar LLC CSG,EBMSS,MA,Worcester,ISNE,NPCC,0,25,1000,0,0,42.2323,-72.0294,14
